conf_thresh,nms_iou_thresh,total_predictions,avg_preds_per_image,matched_gt_count,precision_proxy,recall_proxy
0.1,0.3,1421,35.52,1,0.0007,0.025
0.1,0.45,1568,39.2,2,0.0013,0.05
0.1,0.6,1790,44.75,1,0.0006,0.025
0.25,0.3,637,15.93,0,0.0,0.0
0.25,0.45,675,16.88,1,0.0015,0.025
0.25,0.6,727,18.18,0,0.0,0.0
0.5,0.3,152,3.8,0,0.0,0.0
0.5,0.45,154,3.85,0,0.0,0.0
0.5,0.6,155,3.88,0,0.0,0.0
