conf_thresh,nms_iou_thresh,total_predictions,avg_preds_per_image,matched_gt_count,precision_proxy,recall_proxy
0.1,0.3,1300,32.5,0,0.0,0.0
0.1,0.45,1378,34.45,0,0.0,0.0
0.1,0.6,1474,36.85,1,0.0007,0.0208
0.25,0.3,387,9.68,0,0.0,0.0
0.25,0.45,407,10.18,0,0.0,0.0
0.25,0.6,434,10.85,0,0.0,0.0
0.5,0.3,60,1.5,0,0.0,0.0
0.5,0.45,60,1.5,0,0.0,0.0
0.5,0.6,60,1.5,0,0.0,0.0
