conf_thresh,nms_iou_thresh,total_predictions,avg_preds_per_image,matched_gt_count,precision_proxy,recall_proxy
0.1,0.3,257,6.42,32,0.1245,0.6667
0.1,0.45,407,10.18,41,0.1007,0.8542
0.1,0.6,686,17.15,45,0.0656,0.9375
0.25,0.3,102,2.55,22,0.2157,0.4583
0.25,0.45,158,3.95,30,0.1899,0.625
0.25,0.6,234,5.85,35,0.1496,0.7292
0.5,0.3,22,0.55,8,0.3636,0.1667
0.5,0.45,34,0.85,11,0.3235,0.2292
0.5,0.6,44,1.1,11,0.25,0.2292
